threshold_k,side,horizon_sec,signal_rate,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
25,bid,120,0.9949933460724766,-0.19894633016687266,18.96138402090231,-10.610285598857676,0.0,-25.47851416164194,1022639,0.3591061948546848
25,bid,300,0.9949933460724766,-0.43892287103250943,28.592270152706018,-15.446375188702893,0.0,-37.27758522689788,1012451,0.397122428640991
25,ask,30,0.9939261584658432,0.025470257483043067,11.715300022014254,2.203124974037884,0.027586162652056823,5.279443170100603,1026877,0.2681440912592258
25,ask,60,0.9939261584658432,0.0721164939985059,15.364675371289747,4.751574631661184,2.018659203795181e-06,11.39775756927452,1024832,0.31848146818210205
25,ask,120,0.9939261584658432,0.18684049946511955,20.298249496296553,9.30271057852236,0.0,22.35221840616663,1021396,0.36742849981789627
25,ask,300,0.9939261584658432,0.5090635343074985,30.414824765710684,16.830833731653065,0.0,40.643852710186906,1011202,0.42650133207806157
30,bid,30,0.9949933460724766,-0.05768874500676932,10.732032771193271,-5.450432992367537,5.025883287324007e-08,-13.053209252114572,1028120,0.2715286153367311
30,bid,60,0.9949933460724766,-0.09549614823461974,14.145566740070194,-6.838408747990993,8.01225752411483e-12,-16.393576136260627,1026075,0.3189844796920303
30,bid,120,0.9949933460724766,-0.19894633016687266,18.96138402090231,-10.610285598857676,0.0,-25.47851416164194,1022639,0.3591061948546848
30,bid,300,0.9949933460724766,-0.43892287103250943,28.592270152706018,-15.446375188702893,0.0,-37.27758522689788,1012451,0.397122428640991
30,ask,30,0.9939261584658432,0.025470257483043067,11.715300022014254,2.203124974037884,0.027586162652056823,5.279443170100603,1026877,0.2681440912592258
30,ask,60,0.9939261584658432,0.0721164939985059,15.364675371289747,4.751574631661184,2.018659203795181e-06,11.39775756927452,1024832,0.31848146818210205
30,ask,120,0.9939261584658432,0.18684049946511955,20.298249496296553,9.30271057852236,0.0,22.35221840616663,1021396,0.36742849981789627
30,ask,300,0.9939261584658432,0.5090635343074985,30.414824765710684,16.830833731653065,0.0,40.643852710186906,1011202,0.42650133207806157
40,bid,30,0.9949933460724766,-0.05768874500676932,10.732032771193271,-5.450432992367537,5.025883287324007e-08,-13.053209252114572,1028120,0.2715286153367311
40,bid,60,0.9949933460724766,-0.09549614823461974,14.145566740070194,-6.838408747990993,8.01225752411483e-12,-16.393576136260627,1026075,0.3189844796920303
40,bid,120,0.9949933460724766,-0.19894633016687266,18.96138402090231,-10.610285598857676,0.0,-25.47851416164194,1022639,0.3591061948546848
40,bid,300,0.9949933460724766,-0.43892287103250943,28.592270152706018,-15.446375188702893,0.0,-37.27758522689788,1012451,0.397122428640991
40,ask,30,0.9939261584658432,0.025470257483043067,11.715300022014254,2.203124974037884,0.027586162652056823,5.279443170100603,1026877,0.2681440912592258
40,ask,60,0.9939261584658432,0.0721164939985059,15.364675371289747,4.751574631661184,2.018659203795181e-06,11.39775756927452,1024832,0.31848146818210205
40,ask,120,0.9939261584658432,0.18684049946511955,20.298249496296553,9.30271057852236,0.0,22.35221840616663,1021396,0.36742849981789627
40,ask,300,0.9939261584658432,0.5090635343074985,30.414824765710684,16.830833731653065,0.0,40.643852710186906,1011202,0.42650133207806157
50,bid,30,0.9949933460724766,-0.05768874500676932,10.732032771193271,-5.450432992367537,5.025883287324007e-08,-13.053209252114572,1028120,0.2715286153367311
50,bid,60,0.9949933460724766,-0.09549614823461974,14.145566740070194,-6.838408747990993,8.01225752411483e-12,-16.393576136260627,1026075,0.3189844796920303
50,bid,120,0.9949933460724766,-0.19894633016687266,18.96138402090231,-10.610285598857676,0.0,-25.47851416164194,1022639,0.3591061948546848
50,bid,300,0.9949933460724766,-0.43892287103250943,28.592270152706018,-15.446375188702893,0.0,-37.27758522689788,1012451,0.397122428640991
50,ask,30,0.9939261584658432,0.025470257483043067,11.715300022014254,2.203124974037884,0.027586162652056823,5.279443170100603,1026877,0.2681440912592258
50,ask,60,0.9939261584658432,0.0721164939985059,15.364675371289747,4.751574631661184,2.018659203795181e-06,11.39775756927452,1024832,0.31848146818210205
50,ask,120,0.9939261584658432,0.18684049946511955,20.298249496296553,9.30271057852236,0.0,22.35221840616663,1021396,0.36742849981789627
50,ask,300,0.9939261584658432,0.5090635343074985,30.414824765710684,16.830833731653065,0.0,40.643852710186906,1011202,0.42650133207806157
