sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,rejection_counts,reject_bigmove_prob,reject_probability,reject_score_margin,reject_tod_profile,reject_expected_r,reject_risk_budget,reject_capacity,reject_other,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_trades,metric_win_rate,metric_avg_R,metric_total_pnl,metric_fees_total,param_prob_threshold_long,param_score_margin,param_bigmove_policy.quantile_threshold,param_max_open_positions_global
0,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.99,2
1,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.99,3
2,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.995,2
3,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.995,3
4,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.9975,2
5,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.9975,3
6,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.999,2
7,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.1,0.999,3
8,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.99,2
9,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.99,3
10,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.995,2
11,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.995,3
12,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.9975,2
13,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.9975,3
14,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.999,2
15,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,-0.05,0.999,3
16,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.99,2
17,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.99,3
18,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.995,2
19,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.995,3
20,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.9975,2
21,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.9975,3
22,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.999,2
23,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.0,0.999,3
24,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.99,2
25,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.99,3
26,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.995,2
27,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.995,3
28,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.9975,2
29,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.9975,3
30,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.999,2
31,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.5,0.02,0.999,3
32,1,18016,0.045454545454545456,0.0,0.0,"{'bigmove_prob': 17550, 'probability': 0, 'score_margin': 0, 'tod_profile': 464, 'expected_r': 0, 'risk_budget': 0, 'capacity': 2, 'other': 0}",17550,0,0,464,0,0,2,0,-5.35001491774878e-07,-1.5713333501032878e-07,1.1541926266233209e-05,-1732.8266246031224,-1.5185000746709143e-05,512,0.5,0.0,0.5,1,1,0.0,-0.535001491749961,-0.535001491749961,0.5,0.55,-0.1,0.99,2
